3982 	Computer Science/Digital Media
3983 	Science/Computer Science
3984 	Computer Science / Law
3987 	Advanced Science (Honours)
3991 	Medical Science
3997 	Advanced Science (Honours)/Law
3998 	Advanced Mathematics(Hons)/Law
3999 	Medicinal Chemistry (Honours)
4033 	Social Work (Honours)
4044 	Social Work (Honours)/SR&P
4076 	Science/Education (Secondary)
4500 	Science (Honours)
4515 	Comp Sci & Eng (Honours)
4520 	Actuarial Studies (Honours)
4733 	Commerce / Computer Science
4737 	Actuarial Studies / Law
4760 	Arts / Law
4770 	Science / Law
4778 	Engineering / Law
4795 	Data Sci and Decisions / Law
4809 	Design (Honours)
4813 	Media Arts
4814 	Fine Arts (Honours)
4816 	Media Arts (Honours)
4818 	Design (Honours) /Media (PR&A)
4820 	Fine Arts / Arts
4821 	Media Arts (Honours)
4822 	Design
4824 	Design / Media (PR and Adv)
5341 	Engineering Science
5543 	Information Technology
5659 	Statistics
5959 	Data Science and Decisions
6001 	Study Abroad Program
6021 	Exchange Program
6040 	NAWD UGRD (Eng)
6043 	NAWD PGRD (Eng)
6114 	University Preparation Program
6115 	UNSW Preparation Program 17-19
6267 	Senior Secondary Student Prog
7001 	Science
7002 	Engineering
7003 	Computer Science
7004 	Senior Secondary Student Prog
7372 	Health Data Science
7456 	Business Analytics
7543 	Computing
7659 	Mathematics and Statistics
8009 	Technology and Innovation Mgmt
8037 	Food Science
8151 	City Analytics
8161 	Financial Mathematics
8236 	Applied Linguistics
8271 	Marine Science and Management
8282 	Public Relations & Advertising
8338 	Engineering Science
8404 	Commerce
8411 	Actuarial Studies
8416 	Actuarial Studies (Extension)
8417 	Commerce (Extension)
8446 	Info Sys Mgmt (Extension)
8543 	Information Technology
8621 	Engineering
8623 	Information Technology
8635 	NAWD UGRD (Business)
8660 	Biomedical Engineering
8719 	Mathematics
8750 	Statistics
8959 	Data Science and Decisions
9313 	Design
9322 	Visualisation & Simulation
9372 	Health Data Science
